Date,Time,Open,High,Low,Close,Up,Down
7/8/2020,09:45,1406.02,1407.13,1389,1395.22,89268,126348
7/8/2020,09:50,1395.38,1405.73,1394.26,1403.83,92021,88156
7/8/2020,09:55,1403.76,1407,1398,1398.93,56572,65268
7/8/2020,10:00,1398.72,1402.4,1394,1396.94,52732,59080
7/8/2020,10:05,1397.49,1405.5,1394,1401.75,79427,57892
7/8/2020,10:10,1402.32,1412,1402.32,1410.6,102870,83426
7/8/2020,10:15,1410.64,1410.96,1402.6,1405.67,49878,52318
7/8/2020,10:20,1405.08,1405.08,1399,1402.2,46581,60394
7/8/2020,10:25,1402.26,1406,1398.02,1402.11,46184,50483
7/8/2020,10:30,1402,1402.67,1394,1397.95,45640,75306
7/8/2020,10:35,1397.17,1401.81,1396.02,1399.12,34789,28199
7/8/2020,10:40,1399.62,1404.06,1397,1402.11,44138,33870
7/8/2020,10:45,1402.51,1404.31,1398,1399.02,44045,48114
7/8/2020,10:50,1398.51,1399.23,1394.4,1398,35426,48072
7/8/2020,10:55,1397,1398.41,1391.01,1393.78,32415,44202
7/8/2020,11:00,1393.24,1395.79,1388.31,1394.33,57631,68835
7/8/2020,11:05,1394.98,1396.5,1387,1388.72,41850,42877
7/8/2020,11:10,1388.63,1393,1385.13,1386,41748,50599
7/8/2020,11:15,1386.44,1396.5,1385.3,1396.5,63415,54801
7/8/2020,11:20,1396.58,1397.22,1390.22,1391.47,33659,37474
7/8/2020,11:25,1391.87,1392.58,1381.09,1386.37,54092,67739
7/8/2020,11:30,1386.92,1389,1381.03,1388.92,52034,45500
7/8/2020,11:35,1388.31,1393,1386.27,1391.49,38492,41534
7/8/2020,11:40,1392.21,1394.39,1390.08,1392.5,38050,31714
7/8/2020,11:45,1392.98,1398.89,1392.5,1396.4,43284,37645
7/8/2020,11:50,1396.39,1399.88,1393.38,1396.65,43548,42904
7/8/2020,11:55,1396.55,1398,1393,1397.24,20736,23824
7/8/2020,12:00,1396.71,1398.5,1394.8,1397.77,30235,27481
7/8/2020,12:05,1398.23,1399.1,1393,1394.94,25455,28606
7/8/2020,12:10,1395.1,1397.56,1393,1393.4,25356,24067
7/8/2020,12:15,1393.65,1396.36,1390.65,1390.65,15433,17478
7/8/2020,12:20,1390.5,1394.7,1390,1394.7,19780,15044
7/8/2020,12:25,1394.95,1396,1392.84,1394.85,17892,18976
7/8/2020,12:30,1395.07,1396.63,1393.17,1393.17,16138,22294
7/8/2020,12:35,1393.65,1396,1392.18,1392.69,16630,9291
7/8/2020,12:40,1392.17,1394.44,1391.56,1391.7,8616,9598
7/8/2020,12:45,1391.58,1391.94,1387.81,1389.75,17665,29834
7/8/2020,12:50,1389.91,1391.23,1385.89,1386.86,21770,25930
7/8/2020,12:55,1387.8,1389.38,1386.6,1388.42,15951,13813
7/8/2020,13:00,1388.56,1394.05,1388,1392.03,40150,36628
7/8/2020,13:05,1392.17,1393.87,1389.76,1390.12,19360,24653
7/8/2020,13:10,1390.2,1391.95,1389.38,1391.14,15387,11417
7/8/2020,13:15,1390.5,1390.81,1387.8,1388,10885,14684
7/8/2020,13:20,1388.08,1389.74,1386,1386.72,30581,27738
7/8/2020,13:25,1387.02,1388.45,1385,1385.57,19273,27237
7/8/2020,13:30,1385.64,1388.8,1383.68,1388.04,28048,22666
7/8/2020,13:35,1388.17,1390.47,1387.49,1388.65,18300,20401
7/8/2020,13:40,1388.57,1390.5,1388,1389.61,16863,13076
7/8/2020,13:45,1388.9,1389,1381.01,1381.5,28145,44698
7/8/2020,13:50,1381.51,1383.28,1376.2,1381,53560,67270
7/8/2020,13:55,1381.5,1381.8,1373,1373.46,34062,44509
7/8/2020,14:00,1373,1376.01,1368.3,1371.07,63985,70978
7/8/2020,14:05,1370.78,1378.08,1370,1373.01,50764,50383
7/8/2020,14:10,1372.97,1374.04,1369.11,1373.56,48058,48224
7/8/2020,14:15,1373.53,1375.39,1365.33,1367,39849,56382
7/8/2020,14:20,1365.99,1370,1363.01,1363.29,60571,62258
7/8/2020,14:25,1363.28,1368.99,1360,1367.24,57621,65461
7/8/2020,14:30,1367.07,1367.92,1362.75,1367.31,52696,63306
7/8/2020,14:35,1366.94,1366.94,1351.11,1351.73,59366,89481
7/8/2020,14:40,1351.13,1360.33,1350.51,1356.63,71895,55703
7/8/2020,14:45,1357.14,1357.48,1350.43,1356.19,45879,47328
7/8/2020,14:50,1356.88,1356.88,1339,1344.16,92387,134446
7/8/2020,14:55,1344.11,1344.94,1311.34,1315,206232,259820
7/8/2020,15:00,1314.99,1341.5,1313.8,1339.96,222565,181657
7/8/2020,15:05,1340.43,1346.4,1330.12,1346.31,164582,135297
7/8/2020,15:10,1345.83,1350,1342,1345.78,100664,90498
7/8/2020,15:15,1345.04,1353.75,1344.01,1351.99,83046,68201
7/8/2020,15:20,1352.85,1358.8,1351.55,1357.82,111973,88938
7/8/2020,15:25,1357.52,1365,1355,1364.3,79499,67867
7/8/2020,15:30,1363.93,1365.63,1357.53,1359.39,78253,85677
7/8/2020,15:35,1359.26,1364,1355.5,1363,70678,66091
7/8/2020,15:40,1362.95,1364.9,1353.63,1359.28,52797,58989
7/8/2020,15:45,1358.72,1360.32,1354.6,1355.4,32511,34267
7/8/2020,15:50,1355.18,1365.89,1354.56,1365.42,63057,49508
7/8/2020,15:55,1365.06,1371.22,1364.86,1369.85,120215,96004
7/8/2020,16:00,1370.18,1370.59,1364.42,1365.81,78442,85970
7/9/2020,09:35,1396.99,1408.56,1387,1403.06,199964,224942
7/9/2020,09:40,1402.01,1406.13,1382.05,1390.92,129155,148775
7/9/2020,09:45,1391.55,1394,1384.02,1384.59,74377,77624
7/9/2020,09:50,1384.67,1387.88,1375.1,1380.85,73249,91500
7/9/2020,09:55,1380.37,1393.67,1379.81,1393.04,84024,69820
7/9/2020,10:00,1392.4,1392.95,1385.73,1390,48709,51112
7/9/2020,10:05,1390.35,1391.56,1382,1384.64,34788,41995
7/9/2020,10:10,1384.61,1388.48,1383.92,1384.5,28508,36559
7/9/2020,10:15,1384.5,1386,1376.31,1380.72,49305,61336
7/9/2020,10:20,1380.49,1380.73,1370.02,1376,47431,66693
7/9/2020,10:25,1375.96,1385.62,1374.84,1380.07,59999,59268
7/9/2020,10:30,1379.63,1385.51,1379.19,1382.78,33119,30377
7/9/2020,10:35,1383.22,1387,1380.79,1382.47,35357,30647
7/9/2020,10:40,1383.54,1384.84,1376.11,1377.87,24364,39841
7/9/2020,10:45,1378.06,1378.49,1369.87,1371.09,41058,68599
7/9/2020,10:50,1370.54,1378.56,1368.02,1373.81,60578,54406
7/9/2020,10:55,1373.51,1378.11,1372.27,1373.14,35748,33513
7/9/2020,11:00,1374.47,1374.47,1359.6,1360.08,62890,98819
7/9/2020,11:05,1359.74,1363.69,1353.13,1353.64,69626,81319
7/9/2020,11:10,1353.83,1367.49,1351.28,1367,101190,71574
7/9/2020,11:15,1366.59,1368,1359.43,1362.78,77672,55656
7/9/2020,11:20,1362.78,1365.41,1352.22,1352.87,39073,38650
7/9/2020,11:25,1353.04,1365.81,1353.04,1363.96,61447,43658
7/9/2020,11:30,1364,1369,1358.29,1368.83,41053,34531
7/9/2020,11:35,1368.97,1374.54,1367.66,1372.43,66348,48657
7/9/2020,11:40,1372.42,1376.26,1370.3,1371.68,35543,38537
7/9/2020,11:45,1372.04,1372.99,1364.05,1368.93,36431,39245
7/9/2020,11:50,1368.23,1375.38,1367.11,1373.92,42149,28465
7/9/2020,11:55,1373.42,1379.13,1371.75,1379.13,41769,31838
7/9/2020,12:00,1378.44,1378.8,1373.71,1375.2,24074,24815
7/9/2020,12:05,1375.62,1379.25,1374.52,1377.45,35177,30616
7/9/2020,12:10,1377.11,1380,1377.09,1380,38967,25525
7/9/2020,12:15,1380.22,1383.72,1373.21,1374.63,35967,40607
7/9/2020,12:20,1375,1378.43,1374.74,1376.6,22051,25205
7/9/2020,12:25,1376.76,1378.43,1374.22,1376.73,10419,22677
7/9/2020,12:30,1377.05,1377.5,1369.27,1372.08,16427,34251
7/9/2020,12:35,1372.62,1374.72,1370.1,1371.15,10968,9319
7/9/2020,12:40,1370.75,1374.35,1369.88,1371.15,7865,14502
7/9/2020,12:45,1371.02,1374.95,1370,1373.36,12843,17507
7/9/2020,12:50,1373.45,1379.57,1373.45,1378.4,29086,18372
7/9/2020,12:55,1378.42,1380,1376.02,1376.02,20721,19202
7/9/2020,13:00,1376,1377.42,1373.63,1376,16305,17051
7/9/2020,13:05,1376.15,1379.39,1374.41,1378,19009,17451
7/9/2020,13:10,1377.44,1378.11,1375.23,1377.48,6283,12039
7/9/2020,13:15,1377.64,1379.16,1376.32,1376.75,8237,7208
7/9/2020,13:20,1376.7,1382,1376.7,1380.24,34282,24579
7/9/2020,13:25,1379.96,1379.97,1374.34,1377.25,19615,21286
7/9/2020,13:30,1377.34,1378.26,1375.1,1376.99,10734,8706
7/9/2020,13:35,1378,1379,1377,1377.61,6300,12575
7/9/2020,13:40,1378.14,1379.83,1377.38,1378.75,13935,8670
7/9/2020,13:45,1378.98,1379.99,1375.56,1376.06,24839,26147
7/9/2020,13:50,1376,1377.44,1374.5,1376.76,16549,12161
7/9/2020,13:55,1376.87,1377.15,1372.04,1374.3,10532,18635
7/9/2020,14:00,1374.32,1375.88,1372.51,1374.61,9571,9611
7/9/2020,14:05,1374.68,1376.81,1373.94,1376.22,9454,10532
7/9/2020,14:10,1376.22,1378.41,1375.67,1377.35,15611,10851
7/9/2020,14:15,1378.26,1379.01,1377.47,1378.43,9891,5715
7/9/2020,14:20,1378.78,1381.62,1378.13,1381.35,27368,21030
7/9/2020,14:25,1381.35,1390,1381.11,1389.83,58819,40250
7/9/2020,14:30,1389.61,1390,1386.7,1387.34,32004,36623
7/9/2020,14:35,1387.44,1389.9,1384.51,1389.81,29862,28390
7/9/2020,14:40,1389.28,1389.28,1386,1386.5,22576,21027
7/9/2020,14:45,1386.54,1392.97,1386.54,1392.69,48608,35907
7/9/2020,14:50,1392.5,1398.01,1392.09,1397.79,70210,57159
7/9/2020,14:55,1397.56,1399.51,1391.66,1395.48,47408,67235
7/9/2020,15:00,1395.3,1397.02,1391.95,1396.11,35698,36020
7/9/2020,15:05,1396.02,1398.51,1393.78,1398.3,29293,34197
7/9/2020,15:10,1398.51,1399.75,1396.76,1396.76,37328,38112
7/9/2020,15:15,1397.11,1402.67,1396.84,1402.45,77170,51592
7/9/2020,15:20,1402.56,1403,1394.22,1395.81,44467,40698
7/9/2020,15:25,1395.88,1395.88,1383.41,1389.54,52265,64211
7/9/2020,15:30,1390,1390.95,1381.83,1383.04,30908,42044
7/9/2020,15:35,1383.41,1384.72,1379,1383.14,50757,48012
7/9/2020,15:40,1383.76,1392,1382,1391.45,49283,42145
7/9/2020,15:45,1391.22,1391.92,1386.65,1390.69,32380,32658
7/9/2020,15:50,1391,1398.56,1390.48,1395,44809,41913
7/9/2020,15:55,1394.05,1398.84,1392.55,1394.72,53281,50579
7/9/2020,16:00,1395.84,1395.99,1390,1393.81,50424,52004
7/10/2020,09:35,1396,1398.88,1378.82,1379.28,102627,151562
7/10/2020,09:40,1379.99,1390.38,1379.56,1389.55,72069,64590
7/10/2020,09:45,1389.3,1393.7,1384.96,1392.41,50788,49918
7/10/2020,09:50,1391.11,1392.78,1385,1390.59,40907,38979
7/10/2020,09:55,1390.89,1393.72,1385,1387.5,31465,34261
7/10/2020,10:00,1387.33,1390,1383.59,1384.98,38912,44929
7/10/2020,10:05,1384.98,1384.98,1376.01,1378.98,43466,73727
7/10/2020,10:10,1378.98,1389.4,1378.59,1389.16,64613,46906
7/10/2020,10:15,1389.62,1397.12,1388.13,1396.95,87994,72625
7/10/2020,10:20,1397.05,1398.69,1390,1394.08,52756,42378
7/10/2020,10:25,1393.51,1394.61,1390.18,1391.35,18368,23231
7/10/2020,10:30,1391.12,1402.54,1390.39,1402.01,72886,57345
7/10/2020,10:35,1401.93,1412.25,1401.77,1407.21,144552,114495
7/10/2020,10:40,1407.27,1416.01,1404,1413.02,99299,103103
7/10/2020,10:45,1414,1415.35,1408.57,1410.68,61438,65563
7/10/2020,10:50,1410.11,1413,1403.01,1407.22,59179,64876
7/10/2020,10:55,1406.98,1413,1406.11,1412.11,50497,36127
7/10/2020,11:00,1412.37,1419,1410.5,1417.53,105932,76067
7/10/2020,11:05,1417.43,1420.61,1411.73,1412,80139,78864
7/10/2020,11:10,1412.41,1414.79,1408.08,1412.25,57507,53361
7/10/2020,11:15,1411.75,1414.14,1410,1411.97,29243,31710
7/10/2020,11:20,1411.58,1417,1410.65,1410.98,42506,39462
7/10/2020,11:25,1410.7,1414.81,1410.7,1413,21558,26497
7/10/2020,11:30,1413.56,1413.56,1406.33,1406.33,22819,30234
7/10/2020,11:35,1406.52,1408.97,1404.8,1407.42,30296,34830
7/10/2020,11:40,1407.25,1412.87,1407.25,1411.5,32107,26673
7/10/2020,11:45,1411.88,1414,1410.42,1412.51,25095,21965
7/10/2020,11:50,1412.57,1412.9,1408.35,1409.5,19340,19534
7/10/2020,11:55,1409.44,1410.56,1408.59,1408.95,11893,17576
7/10/2020,12:00,1409.05,1410,1406.38,1409.23,15770,19663
7/10/2020,12:05,1409.45,1409.99,1406.9,1407.28,10587,14958
7/10/2020,12:10,1407.2,1411.21,1406.6,1410.08,31531,18437
7/10/2020,12:15,1410.28,1414.03,1410.23,1413.76,39548,39073
7/10/2020,12:20,1414.22,1415.83,1412.12,1412.74,32167,24853
7/10/2020,12:25,1412.91,1413.36,1409,1410.45,31462,30386
7/10/2020,12:30,1410.16,1412.41,1409.06,1412.2,19186,11177
7/10/2020,12:35,1412.03,1418,1410.72,1417.64,55387,31506
7/10/2020,12:40,1417.4,1425.34,1416.09,1421.83,95443,66713
7/10/2020,12:45,1421.63,1433.77,1419.58,1432.38,100732,73445
7/10/2020,12:50,1432.37,1437,1430.13,1433.61,101428,92376
